Original,"County, Abbreviation",County,MSA,CBSA (Blanks are Rural),State,Abbreviation,Year,FIPS,Census ID,LAUS-Code,Diversity,Hsattain,BachAttain,MedEarn,CountyMHI,Poverty,LabForceSize,EmploySize,UnempSize,UnempRate,UnemployCensus,CountyDensity,CountyDensityUSDA,CountyPop,TaxRev,RelDiversity,,CivPop,AgEtc,MiningEtc,Construction,Manuf,WholeTrade,RetTrade,TranspWare,Utilities,Info,FinAndIns,RealEstate,ProfTech,Mngmt,Admin,EduServ,HealthCare,ArtsRec,AccomFood,OtherServ,PubAdmin,,OccEmpAll,OccEmpMngmt,OccEmpBusFin,OccEmpCompMath,OccEmpArchEng,OccEmpPhySocSci,OccEmpCommSvc,OccEmpLegal,OccEmpEduc,OccEmpArtsEnt,OccEmpHealthPrac,OccEmpHealthSupp,OccEmpProtSvc,OccEmpFoodPrep,OccEmpBldgMaint,OccEmpPersCare,OccEmpSales,OccEmpAdmin,OccEmpFarming,OccEmpConstruct,OccEmpMaintRep,OccEmpProduction,OccEmpTranspMoving,,LocQuotAll,LocQuotMngmt,LocQuotBusFin,LocQuotCompMath,LocQuotArchEng,LocQuotPhySocSci,LocQuotCommSvc,LocQuotLegal,LocQuotEduc,LocQuotArtsEnt,LocQuotHealthPrac,LocQuotHealthSupp,LocQuotProtSvc,LocQuotFoodPrep,LocQuotBldgMaint,LocQuotPersCare,LocQuotSales,LocQuotAdmin,LocQuotFarming,LocQuotConstruct,LocQuotMaintRep,LocQuotProduction,LocQuotTranspMoving,,AnnMedianAll,AnnMedianMngmt,AnnMedianBusFin,AnnMedianCompMath,AnnMedianArchEng,AnnMedianPhySocSci,AnnMedianCommSvc,AnnMedianLegal,AnnMedianEduc,AnnMedianArtsEnt,AnnMedianHealthPrac,AnnMedianHealthSupp,AnnMedianProtSvc,AnnMedianFoodPrep,AnnMedianBldgMaint,AnnMedianPersCare,AnnMedianSales,AnnMedianAdmin,AnnMedianFarming,AnnMedianConstruct,AnnMedianMaintRep,AnnMedianProduction,AnnMedianTranspMoving,,AnnAvgAll,AnnAvgMngmt,AnnAvgBusFin,AnnAvgCompMath,AnnAvgArchEng,AnnAvgPhySocSci,AnnAvgCommSvc,AnnAvgLegal,AnnAvgEduc,AnnAvgArtsEnt,AnnAvgHealthPrac,AnnAvgHealthSupp,AnnAvgProtSvc,AnnAvgFoodPrep,AnnAvgBldgMaint,AnnAvgPersCare,AnnAvgSales,AnnAvgAdmin,AnnAvgFarming,AnnAvgConstruct,AnnAvgMaintRep,AnnAvgProduction,AnnAvgTranspMoving
"Autauga County, Alabama","Autauga County, AL",Autauga County,"Montgomery, AL",33860,Alabama,AL,,01001,0500000US01001,CN0100100000000,23.1,83.6,21.1,34497,58786,14.9,26172,25458,714,2.7,,,2,55601,146.9637017,1.000,,24124,0.0055,0.0033,0.0600,0.1295,0.0272,0.0893,0.0550,0.0149,0.0163,0.0439,0.0187,0.0561,0.0004,0.0330,0.0928,0.1080,0.0164,0.0649,0.0625,0.1025,,165010,6090,7650,3990,2810,1150,1920,1540,8990,1780,9340,3740,5240,14630,5780,5470,17160,25770,540,4890,7040,16800,12710,,1,0.73,0.89,0.81,0.96,0.85,0.81,1.22,0.89,0.8,0.96,0.79,1.32,0.96,1.11,1.03,1,1,0.98,0.75,1.1,1.57,1.11,,32070,92990,59250,73190,63240,54000,47320,80480,44000,37730,50420,23810,35220,18730,21920,19310,23540,30890,23310,34380,42930,31710,24270,,40660,103270,67990,73300,69000,58520,48980,93610,42610,41900,64770,25880,36460,20550,24190,23570,32610,33480,27020,37520,44890,32350,29070
"Baldwin County, Alabama","Baldwin County, AL",Baldwin County,"Daphne-Fairhope-Foley, AL",19300,Alabama,AL,,01003,0500000US01003,CN0100300000000,86.3,88.7,30.1,31394,55962,13.4,97328,97328,97328,2.7,,,3,218022,306.7120255,1.000,,93379,0.0096,0.0037,0.0827,0.0912,0.0309,0.1371,0.0381,0.0111,0.0137,0.0364,0.0375,0.0625,0.0001,0.0438,0.0794,0.1215,0.0208,0.0801,0.0491,0.0507,,69840,1880,1580,380,460,170,530,330,3810,430,3910,1780,1490,10750,3620,2650,12600,10000,110,2710,2940,3360,4350,,1,0.53,0.44,0.18,0.37,0.3,0.53,0.61,0.89,0.46,0.94,0.88,0.88,1.66,1.64,1.18,1.74,0.91,0.46,0.98,1.08,0.74,0.9,,27510,79300,53970,60920,59350,52980,38680,48150,42930,27210,49900,24390,35710,19560,22900,19090,23680,29120,19110,35190,35160,30490,25520,,35280,93960,61370,63430,66290,54130,41560,51220,39250,31240,66260,27140,38510,22460,25550,21570,31320,31530,23020,37680,38900,32970,30010
"Barbour County, Alabama","Barbour County, AL",Barbour County,0,0,Alabama,AL,,01005,0500000US01005,CN0100500000000,47.4,66.7,12.4,24612,34186,29.5,8537,8537,8537,3.8,,,6,24881,211.4840122,1.000,,8720,0.0440,0.0011,0.0625,0.2389,0.0279,0.1062,0.0549,0.0142,0.0024,0.0259,0.0138,0.0194,0.0015,0.0268,0.0986,0.0878,0.0091,0.0501,0.0438,0.0710,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bibb County, Alabama","Bibb County, AL",Bibb County,"Birmingham-Hoover, AL",13820,Alabama,AL,,01007,0500000US01007,CN0100700000000,76.7,73,10.5,28231,45340,22.2,8685,8685,8685,3.1,,,1,22400,141.7437896,1.000,,8099,0.0190,0.0409,0.0901,0.1871,0.0172,0.0915,0.0436,0.0053,0.0131,0.0349,0.0109,0.0154,0.0000,0.0315,0.0933,0.1347,0.0059,0.0380,0.0748,0.0527,,504600,21770,24060,12050,7330,2030,4250,4070,24060,5960,42710,13450,13250,41600,14100,11880,61580,83610,440,19970,23960,33870,38590,,1,0.85,0.92,0.81,0.82,0.49,0.59,1.05,0.78,0.87,1.43,0.93,1.09,0.89,0.89,0.73,1.18,1.06,0.26,0.99,1.22,1.03,1.1,,35340,101010,61820,74720,71350,51490,41370,66810,48950,34120,56960,24760,30140,19240,21970,19250,27010,33060,30260,38840,43360,31430,28020,,46440,118490,68450,76330,77920,63830,44080,94010,52800,41370,76700,26900,35400,21440,24360,23060,40250,35690,34040,43190,46730,35370,31780
"Blount County, Alabama","Blount County, AL",Blount County,"Birmingham-Hoover, AL",13820,Alabama,AL,,01009,0500000US01009,CN0100900000000,95.5,73.7,12,33435,48695,14.9,25331,25331,25331,2.7,,,1,57840,202.469093,1.000,,21346,0.0149,0.0080,0.0946,0.1641,0.0360,0.1176,0.0468,0.0219,0.0125,0.0418,0.0166,0.0427,0.0000,0.0341,0.0634,0.1336,0.0052,0.0410,0.0595,0.0459,,504600,21770,24060,12050,7330,2030,4250,4070,24060,5960,42710,13450,13250,41600,14100,11880,61580,83610,440,19970,23960,33870,38590,,1,0.85,0.92,0.81,0.82,0.49,0.59,1.05,0.78,0.87,1.43,0.93,1.09,0.89,0.89,0.73,1.18,1.06,0.26,0.99,1.22,1.03,1.1,,35340,101010,61820,74720,71350,51490,41370,66810,48950,34120,56960,24760,30140,19240,21970,19250,27010,33060,30260,38840,43360,31430,28020,,46440,118490,68450,76330,77920,63830,44080,94010,52800,41370,76700,26900,35400,21440,24360,23060,40250,35690,34040,43190,46730,35370,31780
"Bullock County, Alabama","Bullock County, AL",Bullock County,0,0,Alabama,AL,,01011,0500000US01011,CN0101100000000,22,68.1,18.8,26803,32152,32.8,4818,4818,4818,3.6,,,6,10138,248.8780853,1.000,,3940,0.0594,0.0000,0.0492,0.3376,0.0094,0.0647,0.0297,0.0223,0.0043,0.0185,0.0046,0.0355,0.0000,0.0140,0.0977,0.0645,0.0269,0.0551,0.0411,0.0655,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Butler County, Alabama","Butler County, AL",Butler County,0,0,Alabama,AL,,01013,0500000US01013,CN0101300000000,52,80.4,16.6,25679,39109,24.1,9263,9263,9263,3.6,,,6,19680,204.773246,1.000,,7885,0.0289,0.0006,0.0562,0.2403,0.0140,0.1124,0.0340,0.0119,0.0131,0.0181,0.0122,0.0193,0.0000,0.0265,0.0744,0.1297,0.0055,0.0993,0.0487,0.0549,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Calhoun County, Alabama","Calhoun County, AL",Calhoun County,"Anniston-Oxford-Jacksonville, AL",11500,Alabama,AL,,01015,0500000US01015,CN0101500000000,74.3,78.8,17.6,26898,45197,20.9,46209,46209,46209,3.5,,,3,114277,161.5118492,0.995,,48157,0.0108,0.0016,0.0604,0.1764,0.0242,0.1264,0.0347,0.0114,0.0153,0.0339,0.0096,0.0333,0.0000,0.0387,0.0882,0.1292,0.0150,0.0701,0.0492,0.0717,,41150,1160,1240,350,430,150,390,120,2330,500,2780,910,1060,4360,1120,870,4600,6310,#N/A,1050,2460,5800,3140,,1,0.56,0.58,0.29,0.59,0.43,0.67,0.38,0.92,0.9,1.14,0.76,1.07,1.15,0.86,0.65,1.08,0.98,#N/A,0.64,1.54,2.17,1.1,,30950,83930,59260,46840,71020,53000,42350,44850,46410,27880,49020,24120,36500,18660,20710,18830,20330,29960,#N/A,38050,47240,34140,27110,,37740,94070,62220,50550,70600,57980,43050,52600,44460,32680,63580,27300,36930,20120,22920,22020,29610,32470,#N/A,39960,45090,35530,29470
"Chambers County, Alabama","Chambers County, AL",Chambers County,0,0,Alabama,AL,,01017,0500000US01017,CN0101700000000,57.6,69.5,12.2,27688,39872,23.7,15748,15748,15748,2.9,,,6,33615,196.0847522,1.000,,14786,0.0139,0.0015,0.0451,0.2878,0.0237,0.1042,0.0234,0.0124,0.0189,0.0269,0.0094,0.0275,0.0082,0.0655,0.0697,0.1185,0.0097,0.0529,0.0407,0.0402,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Cherokee County, Alabama","Cherokee County, AL",Cherokee County,0,0,Alabama,AL,,01019,0500000US01019,CN0101900000000,92.8,72.9,9.5,30455,41014,23.8,11604,11604,11604,2.9,,,6,26032,362.2336517,1.000,,9805,0.0334,0.0000,0.0726,0.2627,0.0090,0.1101,0.0466,0.0272,0.0103,0.0158,0.0025,0.0284,0.0000,0.0188,0.0748,0.1578,0.0054,0.0414,0.0216,0.0616,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
