Unique ID,Incentive per job,Program.Name,Program,Deal date,Deal type,Freezone?,Domestic/FDI?,Region/state,CBSA,Capex,New jobs,Incentive (USD m),Incentive per job,Incentive type,Incentive objective(s),NAICS Industry,NAICS Sector,NAICS Sub-sector,Industry sector,Industry activities,fDi Markets Sector,fDI Markets Activity
1,3750,Program.1,Commonwealth Opportunity Fund,Jul-20,New,No,Domestic,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",15.8,200,0.75,3750,Grant/Subsidy,"Capital Investment, Employment/People",Computers & electronics,Computer & electronic product manufacturing,Audio & video equipment manufacturing,Industrial Goods,Manufacturing,Communications,Manufacturing
2,6455.696203,Program.1,Commonwealth Opportunity Fund,Jul-20,Expansion,No,FDI,Virginia,"Lynchburg, VA",35,79,0.51,6456,Grant/Subsidy,"Capital Investment, Employment/People",Miscellaneous manufacturing,Medical equipment & supplies manufacturing,Medical equipment & supplies manufacturing,Life Sciences,Manufacturing,Medical Devices,Manufacturing
3,14545.45455,Program.1,Commonwealth Opportunity Fund,Jun-20,Expansion,No,Domestic,Virginia,"Staunton-Waynesboro, VA",135,110,1.6,14545,Grant/Subsidy,"Capital Investment, Employment/People","Agriculture, food, & related",Food manufacturing,Sugar & confectionary product manufacturing,Food & Drink,Manufacturing,Food & Tobacco,Manufacturing
4,14333.33333,Program.1,Commonwealth Opportunity Fund,Jun-20,New,No,FDI,Virginia,"Martinsville, VA",6.9,30,0.43,14333,"Grant/Subsidy, Unspecified","Capital In.., Employment.., Unspecified","Chemicals, plastics & rubber products ma..",Chemical manufacturing,"Resin, synthetic rubber, & artificial sy..",Basic Materials,Manufacturing,Chemicals,Manufacturing
5,7118.644068,Program.1,Commonwealth Opportunity Fund,Jun-20,New,No,Domestic,Virginia,Not specified,7.6,59,0.42,7119,Grant/Subsidy,"Capital In.., Regional/L.., Employment..",Other services,Management of companies & enterprises,"Corporate, subsidiary, & regional managi..",Industrial Goods,Headquarters (HQ),"Industrial Machinery, Equipment & Tools",Headquarters
6,1285.714286,Program.1,Commonwealth Opportunity Fund,Jun-20,New,No,Domestic,Virginia,Not specified,12.4,700,0.9,1286,Grant/Subsidy,"Capital Investment, Employment/People",Other services,Management of companies & enterprises,"Corporate, subsidiary, & regional managi..",Information Technology & Telecom (ITT),Headquarters (HQ),Software & IT services,Headquarters
7,1987.951807,Program.1,Commonwealth Opportunity Fund,Jun-20,New,No,Domestic,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",64.4,332,0.66,1988,Grant/Subsidy,"Capital Investment, Employment/People",Other services,Management of companies & enterprises,"Corporate, subsidiary, & regional managi..","Aerospace, Defence and Marine (ADM)",Headquarters (HQ),Non-Automotive Transport OEM,Headquarters
8,12000,Program.1,Commonwealth Opportunity Fund,Jun-20,New,No,FDI,Virginia,"Martinsville, VA",1.95,15,0.18,12000,"Grant/Subsidy, Unspecified","Capital In.., Employment.., Unspecified",Machinery & metal manufacturing,Fabricated metal product manufacturing,Other fabricated metal product manufactu..,Industrial Goods,Manufacturing,Metals,Manufacturing
9,2750,Program.1,Commonwealth Opportunity Fund,Jun-20,New,No,Domestic,Virginia,"Roanoke, VA",31.7,80,0.22,2750,Grant/Subsidy,"Capital In.., Regional/L.., Employment..",Utilities,"Electric power generation, transmission ..",Other electric power generation,Renewable Energy,Electricity & Extraction,Alternative/Renewable energy,Extraction
10,4700,Program.1,Commonwealth Opportunity Fund,May-20,New,No,Domestic,Virginia,"Danville, VA",34,200,0.94,4700,Grant/Subsidy,"Capital In.., Regional/L.., Employment..","Chemicals, plastics & rubber products ma..",Plastics product manufacturing,Other plastics product manufacturing,Basic Materials,Manufacturing,Plastics,Manufacturing
