Code,State,Series ID,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
01,Alabama,ENU010005051012,41785,43426,43518,45290,45558,47826,48744,50534,52230,53957,56141
02,Alaska,ENU020005051012,68968,70392,70151,72100,74917,79221,81317,77665,74936,79037,81257
04,Arizona,ENU040005051012,44171,44220,45076,47018,47525,48662,49388,50778,53440,55989,58621
05,Arkansas,ENU050005051012,39635,39421,39893,41341,40776,42374,44145,45763,47283,47988,49541
06,California,ENU060005051012,55052,54865,56206,57999,58211,59464,62257,64472,67561,70084,73343
08,Colorado,ENU080005051012,47824,47827,48865,50151,51052,53668,55347,57344,59444,62414,64603
09,Connecticut,ENU090005051012,57752,58567,58311,59253,59387,61052,64244,66553,68641,69727,72413
10,Delaware,ENU100005051012,48660,49123,52472,51050,53047,53823,55136,56705,59040,59797,62481
11,District of Columbia,ENU110005051012,56415,61128,63461,63673,62967,65166,63603,64012,,71845,73580
12,Florida,ENU120005051012,41497,41075,40875,41538,42124,43690,45785,47342,49256,51286,52893
13,Georgia,ENU130005051012,45033,45547,46116,47735,48807,50804,52947,55803,58213,61018,63683
15,Hawaii,ENU150005051012,62780,62592,63597,64744,65061,66478,70595,72545,73802,75543,76923
16,Idaho,ENU160005051012,37218,38153,38483,39156,39043,39252,39992,41614,42865,44285,46258
17,Illinois,ENU170005051012,59547,58920,59702,60321,61978,64776,67763,69213,70893,71957,73799
18,Indiana,ENU180005051012,47060,49475,51475,54083,53555,52515,53742,54827,57099,58404,60057
19,Iowa,ENU190005051012,43519,43732,45120,47139,48522,51966,54965,58066,55415,57435,58962
20,Kansas,ENU200005051012,43303,44817,45110,47281,47895,49715,50918,51602,52807,54735,57030
21,Kentucky,ENU210005051012,43299,43616,44006,45931,47390,49899,51661,51744,53194,53957,55601
22,Louisiana,ENU220005051012,51020,50362,50963,51560,52706,55808,57786,59632,61781,63892,64940
23,Maine,ENU230005051012,40121,40228,41473,42431,43649,44956,45727,46519,47930,49575,51654
24,Maryland,ENU240005051012,53549,53993,54849,55898,56144,58203,60028,62492,65027,65971,67799
25,Massachusetts,ENU250005051012,61821,62133,63230,65154,66408,68631,71063,72670,75405,78802,81436
26,Michigan,ENU260005051012,49743,50557,52004,53181,53642,55585,57316,59078,61511,62378,63588
27,Minnesota,ENU270005051012,52287,51895,53455,55588,57337,58948,61519,63264,65464,67248,69734
28,Mississippi,ENU280005051012,40575,40252,41424,43748,45774,46374,46260,47680,48782,50325,50925
29,Missouri,ENU290005051012,49267,48318,48685,50216,50573,52557,54433,56025,57823,59442,61762
30,Montana,ENU300005051012,39914,40893,42756,43936,44810,46129,47829,48668,50369,52969,53962
31,Nebraska,ENU310005051012,40959,40788,41083,42637,43369,45832,47402,48324,49634,51657,53794
32,Nevada,ENU320005051012,58636,55434,53087,52078,51398,52582,53250,55315,58071,61123,64365
33,New Hampshire,ENU330005051012,49056,49380,50119,51495,52950,54178,57273,58873,61497,62661,64868
34,New Jersey,ENU340005051012,60594,60745,61722,62369,63814,65002,67676,68735,71145,72658,74644
35,New Mexico,ENU350005051012,40905,40617,41035,41658,41521,42678,43533,44375,46369,49350,52091
36,New York,ENU360005051012,59720,60318,61511,62431,63474,65325,67592,70244,71408,73248,75570
37,North Carolina,ENU370005051012,39427,40127,41311,43042,43897,45563,47690,50074,52372,54587,56974
38,North Dakota,ENU380005051012,45406,46536,51202,56478,60220,64910,64960,64284,63029,64586,68153
39,Ohio,ENU390005051012,47153,47021,48671,50588,51998,54028,55887,57029,60831,61194,62383
40,Oklahoma,ENU400005051012,39380,40758,41518,43824,46041,47142,48731,49636,50585,52777,54435
41,Oregon,ENU410005051012,46884,47138,49109,50625,51614,53333,53622,55870,57987,60523,63148
42,Pennsylvania,ENU420005051012,52516,53076,54652,56084,56834,58770,60158,61595,64769,66852,68612
44,Rhode Island,ENU440005051012,52214,51524,52767,53498,54244,55100,56730,58305,,61579,63414
45,South Carolina,ENU450005051012,40255,41030,41959,43737,44562,46400,47994,50169,53542,52634,55230
46,South Dakota,ENU460005051012,38098,38110,39000,39941,40958,42891,44995,47678,47385,48981,50997
47,Tennessee,ENU470005051012,43058,44292,45583,47132,47568,49904,52841,54475,56642,57033,58777
48,Texas,ENU480005051012,48986,49236,50947,54247,55739,58609,60538,61710,63219,65554,67564
49,Utah,ENU490005051012,40885,42089,42931,44076,43479,44912,46522,47484,49132,51052,53428
50,Vermont,ENU500005051012,41706,42711,43298,43670,45397,46228,46919,48611,50125,51025,52585
51,Virginia,ENU510005051012,45190,46572,47542,48080,48732,50036,51560,53332,56166,58050,60504
53,Washington,ENU530005051012,51043,51124,52303,53048,53736,55106,56919,58795,61249,64432,67833
54,West Virginia,ENU540005051012,44661,47275,47015,50899,52002,53560,53397,52610,57987,72255,64460
55,Wisconsin,ENU550005051012,48868,49168,50197,51758,53400,55417,57241,58765,60136,62063,63874
56,Wyoming,ENU560005051012,45561,47641,47614,49321,50361,51539,51068,50362,50877,53554,57417
72,Puerto Rico,ENU720005051012,20952,21406,21684,21412,21815,22674,22508,22419,24275,31942,24451
78,Virgin Islands,ENU780005051012,35721,38771,38613,39503,37456,38384,39700,41531,65624,85442,90191
