Sales taxable?,Categorization,Category,Sub,Sub-sub,Sub-sub-sub,Item,"All
consumer
units","Less
than
$15,000","$15,000
to
$29,999","$30,000
to
$39,999","$40,000
to
$49,999","$50,000
to
$69,999","$70,000
to
$99,999","$100,000
to
$149,999","$150,000
to
$199,999","$200,000
and
more",
Yes,Category,Food,,,,Food,"$7,923","$4,130","$4,628","$6,077","$6,286","$7,168","$8,753","$10,854","$13,195","$16,392",
-,Sub,,Food at home,,,Food at home,"$4,464","$2,690","$3,011","$3,744","$3,633","$4,228","$4,900","$5,759","$6,764","$8,002",
-,Sub-sub,,,Cereals and bakery products,,Cereals and bakery products,$569,$340,$396,$486,$442,$541,$629,$735,$869,$988,
-,Sub-sub-sub,,,,Cereals and cereal products,Cereals and cereal products,$178,$106,$126,$146,$133,$164,$194,$247,$269,$299,
-,Sub-sub-sub,,,,Bakery products,Bakery products,$392,$234,$269,$340,$310,$377,$435,$488,$600,$689,
-,Sub-sub,,,"Meats, poultry, fish, and eggs",,"Meats, poultry, fish, and eggs",$961,$588,$642,$786,$844,$892,"$1,042","$1,253","$1,453","$1,717",
-,Sub-sub-sub,,,,Beef,Beef,$253,$149,$164,$199,$215,$232,$280,$352,$391,$443,
-,Sub-sub-sub,,,,Pork,Pork,$180,$124,$127,$163,$158,$183,$188,$227,$256,$266,
-,Sub-sub-sub,,,,Other meats,Other meats,$129,$75,$73,$120,$117,$127,$146,$157,$207,$229,
-,Sub-sub-sub,,,,Poultry,Poultry,$180,$109,$126,$144,$154,$163,$196,$245,$278,$306,
-,Sub-sub-sub,,,,Fish and seafood,Fish and seafood,$154,$92,$108,$106,$147,$126,$163,$189,$227,$363,
-,Sub-sub-sub,,,,Eggs,Eggs,$64,$40,$45,$54,$53,$61,$69,$83,$94,$110,
-,Sub-sub,,,Dairy products,,Dairy products,$449,$258,$299,$386,$341,$422,$505,$579,$695,$816,
-,Sub-sub-sub,,,,Fresh milk and cream,Fresh milk and cream,$147,$99,$108,$130,$114,$139,$165,$178,$216,$234,
-,Sub-sub-sub,,,,Other dairy products,Other dairy products,$303,$159,$191,$256,$227,$283,$340,$401,$479,$582,
-,Sub-sub,,,Fruits and vegetables,,Fruits and vegetables,$858,$485,$589,$700,$690,$817,$933,"$1,111","$1,344","$1,567",
-,Sub-sub-sub,,,,Fresh fruits,Fresh fruits,$318,$183,$216,$250,$251,$287,$334,$426,$510,$622,
-,Sub-sub-sub,,,,Fresh vegetables,Fresh vegetables,$283,$158,$188,$212,$229,$274,$310,$365,$450,$542,
-,Sub-sub-sub,,,,Processed fruits,Processed fruits,$114,$59,$80,$108,$90,$117,$132,$139,$163,$187,
-,Sub-sub-sub,,,,Processed vegetables,Processed vegetables,$144,$85,$106,$131,$121,$140,$156,$181,$221,$215,
-,Sub-sub,,,Other food at home,,Other food at home,"$1,627","$1,019","$1,085","$1,386","$1,315","$1,554","$1,791","$2,082","$2,403","$2,913",
-,Sub-sub-sub,,,,Sugar and other sweets,Sugar and other sweets,$151,$93,$105,$137,$117,$139,$163,$190,$237,$259,
-,Sub-sub-sub,,,,Fats and oils,Fats and oils,$118,$72,$79,$109,$99,$111,$134,$149,$171,$189,
-,Sub-sub-sub,,,,Miscellaneous foods,Miscellaneous foods,$865,$529,$561,$718,$685,$833,$941,"$1,146","$1,309","$1,549",
-,Sub-sub-sub,,,,Nonalcoholic beverages,Nonalcoholic beverages,$438,$304,$318,$383,$372,$420,$500,$516,$580,$739,
-,Sub-sub-sub,,,,Food prepared by consumer unit on out-of-town trips,Food prepared by consumer unit on out-of-town trips,$56,$22,$21,$39,$42,$51,$53,$81,$107,$177,
-,Sub,,Food away from home,,,Food away from home,"$3,459","$1,440","$1,617","$2,334","$2,653","$2,941","$3,854","$5,095","$6,431","$8,391",
Yes,Category,Alcoholic beverages,,,,Alcoholic beverages,$583,$201,$190,$326,$383,$512,$569,$854,"$1,108","$2,052",
