Major industry group,Direct jobs,Supplier jobs,Induced jobs,Total indirect jobs,Multiplier,Additional jobs per 1 job,Traditional multiplier calculation
"Agriculture, forest, fishing, and hunting",100,93.6,134.8,228.5,3.285,2.285,3.285
Mining,100,224,166,390,4.9,3.9,4.9
Utilities,100,515.4,442.2,957.7,10.577,9.577,10.577
Construction,100,88,138.1,226.1,3.261,2.261,3.261
Durable manufacturing,100,289.1,454.9,744.1,8.441,7.441,8.441
Nondurable manufacturing,100,184.8,329.5,514.3,6.143,5.143,6.143
Wholesale trade,100,107.3,128,235.3,3.353,2.353,3.353
Retail trade,100,46.7,75.4,122.1,2.221,1.221,2.221
Transportation and warehousing,100,112.8,163.3,276,3.76,2.76,3.76
Information,100,252,321.1,573.1,6.731,5.731,6.731
Finance and insurance,100,149.7,214.7,364.4,4.644,3.644,4.644
Real estate and rental leasing,100,396.6,483.1,879.7,9.797,8.797,9.797
"Professional, scientific, and technical services",100,142.1,276.2,418.3,5.183,4.183,5.183
Management of companies,100,144.4,255.4,399.9,4.999,3.999,4.999
Administrative and support services and waste management,100,45.5,89.1,134.5,2.345,1.345,2.345
Educational services,100,63.8,129.9,193.7,2.937,1.937,2.937
Health care and social assistance,100,69.4,136.2,205.6,3.056,2.056,3.056
"Arts, entertainment, and recreation",100,123.3,255.2,378.5,4.785,3.785,4.785
Accommodation and food services,100,53.8,107.4,161.2,2.612,1.612,2.612
Other services (except public administration),100,70.7,139.6,210.3,3.103,2.103,3.103
