State,State private industry value- added as % of nation,Incentives as % of value-added,Gross taxes as % of value-added,Net taxes as % of value-added,Incentives as % of gross taxes
New Mexico,0.5,4.23,8.47,4.23,50
New York,8.9,3.53,4.65,1.12,75.9
Louisiana,1.6,3.33,5.26,1.92,63.4
Tennessee,1.9,2.91,6.31,3.4,46.1
New Jersey,3.5,2.83,4.32,1.49,65.5
Indiana,2.1,2.68,4.54,1.86,59
Iowa,1.1,2.62,6.11,3.49,42.9
Nebraska,0.7,2.54,4.81,2.26,52.9
South Carolina,1.1,2.39,5.85,3.46,40.9
Kentucky,1.2,2.34,3.51,1.17,66.6
Michigan,2.9,2.07,5.56,3.49,37.3
Alabama,1.2,1.8,4.49,2.69,40.1
District of Columbia,0.5,1.67,5.69,4.03,29.3
Pennsylvania,4.2,1.55,5.65,4.1,27.5
Wisconsin,1.8,1.52,4.41,2.88,34.5
Illinois,4.8,1.35,5.46,4.11,24.7
Texas,10.7,1.24,5.03,3.79,24.7
Florida,5.3,1.23,4.68,3.45,26.3
Minnesota,2.1,1.14,6.05,4.9,18.9
Arizona,1.8,1.06,5.21,4.15,20.3
Ohio,3.7,1.05,3.61,2.57,29
North Carolina,3,0.93,3.61,2.68,25.7
Missouri,1.8,0.79,4.84,4.04,16.4
Oregon,1.4,0.7,3.99,3.29,17.5
Colorado,1.9,0.69,4.36,3.67,15.9
Connecticut,1.6,0.65,5.9,5.25,11
Massachusetts,2.9,0.53,4.65,4.12,11.3
Georgia,3,0.52,4.04,3.52,12.9
California,14.6,0.47,4.38,3.91,10.7
Maryland,2,0.36,4.96,4.6,7.3
Virginia,2.7,0.27,2.77,2.5,9.8
Nevada,0.9,0.23,2.79,2.56,8.3
Washington,2.6,0.09,5.15,5.06,1.7
