State,Program,Eligible,10-year NPV,9/5 model math summary,9/5 internal notes,"Model math summary, late August",Late August internal notes and next steps,10/6/2020 next steps,10/12/2020 Notes,Benefit years,Carryforward years,Eligible taxes to abate,Discretionary level (H-M-L),Discretionary notes,Notes,Program description blurb for ppt,Incentives type,Incentives category,State-program
Alabama,Jobs Act Incentives: Jobs,No,$0,"Top-line: If Yes, cash rebate benefit (sum different layers) * payroll for 10 years

Requirements
- Min jobs and capex based on category (e.g., geography or sector)

Technology company: 
- Must locate corporate HQ in AL
- Must derive at least 75% of sales from specific NAICS codes (proxy = Information sector; and assume 75% sales threshold met if sector is selected)
- Two other categories assumed yes: top 3 execs live in AL and 75% of employees live in AL",*** Need to fix / align expected payroll for project with salaries/wages line in P&L,"Top-line: If Yes, cash rebate benefits (X% of payroll) * FTEs * average wage","- Integrate carryforward provisions
- How to handle previous year gross payroll? 
- Integrate targeted or jumpstart coounty
- Integrate tech company bonus",,,Up to 10 years,Cash rebate,Cash rebate of up to 3% annually of the previous year’s gross payroll (not including fringe benefits,Medium,Up to language but criteria driven benefits,,Cash rebate of up to 3% annually of the previous year’s gross payroll (not including fringe benefits) for eligible employee who are Alabama residents for up to 10 year. Additional enhancements available. (Alabama Department of Revenue),5. Credit: Refundable,Job tax credits,Alabama_Jobs Act Incentives: Jobs
Alabama,Jobs Act Incentives: Investment,No,$0,"Top-line: If Yes (auto yes), benefit of 1.5% * qualifying capex (full capex) for 10 years. If locating in Targeted or Jumpstart county, 15 year benefits. 

Note: if project is a technology compnay and receiving Jobs Credit, ineligible for investment credit. Qualifying project is minimum $2M capex project",* New source. file:///C:/Users/sbrazier/Downloads/Jobs_Act_summary.pdf,"Top-line: If Yes, benefit (3% of capex) * construction share of capex (to update, 65%) * capex for 15 years
QUESTION: if I have average salary from the project, why do I adjust the salaries/wages line in the P&L statements? Should I just use payroll for ""salaries and wages"" then adjust the ""other line items"" to account for both payroll and R&D from different sources? Same end outcome because below-the-line expenses total stays the same","- Check language on qualified capital investment and percentages
- Integrate targeted or jumpstart county
- Check tech company bonsus
- Check sector requirements",,,Up to 10 years,5 years,"The credit can be taken against the Alabama income tax liability, financial institution excise tax liability, and/or utility taxes paid. The credit has a five-year carry forward. ",Medium,Up to language but criteria driven benefits,,"A discretionary tax credit of up to 1.5% of qualified capital investment for a qualified project for a period of up to 10 years. For qualifying investments in a targeted or a jumpstart county, the incentive period is available for up to 15 years. (Alabama Department of Revenue)",4. Credit: Carryforward,Job tax credits,Alabama_Jobs Act Incentives: Investment
Alabama,Sales tax exemptions,No,$0,"Top-line: If Yes and non-data center, sales tax rate * building materials and M&E only during construction. If Yes and data center, sales tax rate for building in year 0 and M&E year 0 onwards

Requirements
- If data center, capex levels determines years of benefit (starting with 10 years)

Notes:
- State of AL administered over 200 different city and county sales taxes, and that's not the full list 
- The state's farm and machinery equipment taxed at 1.5%; the full state and local sales tax rate averages ~8%. 
- The model estimates the benefit at the main P&L's sales tax rate for AL (8-10%) not the machinery equipment sales tax rate, resulting in a higher estimated benefit",,Top-line: [TAX EXEMPTION WORK],"- Confirm tax rates. 4% general rate and 1.5% MME rate that can be abated. So benefit should be on the 1.5% rate not 4%. I think I did it correctly (construction 4%, MME 1.5%)
- Check sector requirements",,* Check differential rates,Within year,n/a - exemption,,Medium,Please note that the local granting authority must grant the abatement for the qualifying project before an abatement is effective.,,"Section 40-9B, et seq Code of Alabama 1975 provides that qualifying industries may receive an abatement on all state and the local non-educational portion of construction related transaction (sales and use) taxes associated with constructing and equipping a project. For state purposes, the general state sales tax rate of 4% and the state manufacturing machinery and equipment tax rate of 1.5% can be abated for qualifying industries. (Alabama Department of Revenue)",3. Exemption,Tax exemptions,Alabama_Sales tax exemptions
Alabama,Property tax abatements,Yes,-,"Top-line: If Yes, 100% abatement on property taxes * property tax bill

Note: 
- Abatement must be granted by local authority
- Technically, only non-educational state and local portions of property tax
- Qualifying sectors list is in separate tab

Assumptions:
- Assumed 100% of property tax can be abated though technically, only non-educational state and local portions of property tax
- ","* Look into separating non-education portion of property tax

* Update qualifying sector","Top-line: If Yes, 100% abatement on property taxes * property taxes

Personal property taxes calculated as follows: Template P&L statement's total real and personal property taxable base","- Property tax abatement is on non-school portion
- Why did I have a ""Yes"" in eligbility",,* I did section 40-9b. Should I do section 40-9g,Within year for 10 years,n/a - exemption,,Medium,Local granting authority,,"Section 40-9B, et seq Code of Alabama 1975 provides for the abatement of certain property taxes to qualifying industries. All of the non-educational state and local portions of property tax can be abated for projects if the proper procedures are followed. (Alabama Department of Revenue)",3. Exemption,Tax exemptions,Alabama_Property tax abatements
Alabama,Enterprise Zone credit/exemption,No,$0,"Top-line: If Yes, benefits from two sections of the code. 

Section 11: sales and use tax rate * buildings in year 0; income tax credit abatement for 5 years; and did not integrate business privilege tax credit

Section 5. Max $2500 benefit per employee sourced through capital investment route (requires at least 5 FTEs created; capex benefit based on size). Took max of the three benefits options (ignored hard to employ option, so other two are tax credit if min 5 jobs created or $1K for training)","* Source. https://adeca.alabama.gov/Divisions/ced/cdp/Pages/Enterprise-Zone.aspx

* Guideliens. https://adeca.alabama.gov/Divisions/ced/cdp/Enterprise/Alabama%20Enterprise%20Zone%20Procedures%20Manual.pdf","Top-line: If Yes, three benefits. Sales and use tax exemption, income tax credit, and business privilege tax. 
BenefiT, sales and use tax: [TAX EXEMPTION WORK]
Benefit, income tax credit: If Yes, CIT amount for 5 years
Benefit, business privilege tax: TBD",- Integrate county details,,,1-5 years depending on element,,Income or priviliege tax credit,Medium,Requires application and local endorsement,,"The Alabama Enterprise Zone Act, enacted in 1987, provides certain tax incentives to corporations, partnerships and proprietorships that locate or expand within designated Enterprise Zones. In addition to state-level tax incentives, businesses may also receive local tax and non-tax incentives for locating or expanding within a designated Enterprise Zone. (Alabama Department of Economic and Community Affairs)",3. Exemption,Geographic credits,Alabama_Enterprise Zone credit/exemption
Arizona,Quality Jobs Tax Credit,No,$0,"Top-line: If Yes, $3K per FTE for 3 years. 

Eligibility: 
- Table with three components (min capex, new jobs, minimum wages) that depends on urban-rural and capex. Must meet all three requirements",,"Top-line: If Yes, award amount based on urban/rural and other critier * FTEs for 3 years","- Integrate Urban/Rural, county details",,,3 years,"If the allowable tax credit exceeds the income or premium tax liability, any unused amount may be carried forward for up to ﬁve consecutive taxable years.",income or premium tax credits ,Medium,Cap of 10K jobs claimed for total program in each year,,Quality Jobs provides tax credits to employers creating a minimum number of net new quality jobs and making a minimum capital investment in Arizona. (AZ Department of Commerce),4. Credit: Carryforward,Job tax credits,Arizona_Quality Jobs Tax Credit
Arizona,Qualified Facility Tax Credit,No,$0,"Top-line: If Yes, lesser of three benefits for assumed 1 year. 
Benefit 1: 10% of qualified investment (land, buildings, M&E, fixtures)
Benefit 2: per qualified job of $20K
Benefit 3: per project $30M

Requirements: 
- Minimum qualified capex of $250K
- Minimum wages of 100% county (if rural) or 125% other 
- At least 65% of health costs covered by employer
- Sector is manufacturing and function is manufacturing/R&D/HQ",,"Top-line: If Yes, lesser of three benefits for assumed 1 year. 
Benefit 1: 10% of qualified investment [REVISIT DEFINITION OF QUALIFIED]
Benefit 2: per qualified job of $20K
Benefit 3: per project $30M","- Confirm 1 year award window
- Integrate county urban/rural details",,,1 year,Refundable tax credit,"The Arizona Commerce Authority (ACA) may authorize up to $70 million per calendar year in tax credits to qualiﬁed companies beginning January 2013 through December 2022. The tax credits will be authorized on a ﬁrst-come, ﬁrst-served basis, according to a priority placement number assigned by the ACA at the time of Pre-Approval.",Medium,"Program caps and first-come, first served basis",,"The Research and Development (R&D) incentive provides an Arizona income tax credit for increased research and development activities conducted in this state, including research conducted at a state university and funded by the company. (AZ Department of Commerce)",5. Credit: Refundable,Investment tax credits,Arizona_Qualified Facility Tax Credit
Arizona,Research and Development Nonrefundable Income Tax Credit,Yes,$0,"Top-line: If Yes, excess of R&D spending in given year over federal base amount from template P&L * 24% benefit (if R&D spend is under $2.5M; if over, $600K + 15% on excess). Assumed yes

Note: Assumed same rate and approach as federal / template process for first three years (i., 6% on R&D spend)","* Source. https://www.azleg.gov/viewdocument/?docName=http://www.azleg.gov/ars/43/01168.htm

https://www.kbkg.com/research-tax-credit/arizona-rd-tax-credit",Top-line: [TAX EXEMPTION WORK],"- Check ""Yes"" requirements
- Same R&D question… how to handle new operations
- Something about changes underway",,"? Why not integrated? Firm size I believe: Starting in 2010, a qualifying company may be eligible to claim a partial refund of its current year excess R&D credit. A company that is otherwise qualiﬁed for the R&D tax credit who employs less than 150 full-time employees can apply to the ACA for a partial refund of up to 75% of the excess credit amount",Within year,If nonrefundable; 15 years,R&D taxes,Low,Criteria-driven,,"The Research and Development (R&D) incentive provides an Arizona income tax credit for increased research and development activities conducted in this state, including research conducted at a state university and funded by the company. (AZ Department of Commerce)",4. Credit: Carryforward,R&D tax credits,Arizona_Research and Development Nonrefundable Income Tax Credit
Arizona,Research and Development Refundable Tax Credit,Not integrated,$0,Not integrated. For basic research with university,,Top-line: [TAX EXEMPTION WORK],No action,,,not integrated,not integrated,not integrated,not integrated,not integrated,not integrated,not integrated,n/a,not integrated,Arizona_Research and Development Refundable Tax Credit
Arizona,Arizona Competes Fund,No,$0,"Top-line: If Yes, median award from Incentives Monitor of $3,909 per FTE * FTEs

Requirements: 
- Meets county wages
- Requires 65% of health insurance covered by employer
- Sector is basic industry. 

Sectors:
- Basic industry based on sectors or activities. I left general traded sector (""producing goods or services that derive at least 65% of revenue from out-of-state sales"") as a ""No""","* Eventually, add in Arizona Competitiveness Package (depreciation benefits)

* Code language. https://www.azleg.gov/ars/41/01545-02.htm

* Update sector language. Complete: https://www.azleg.gov/ars/41/01545.htm

* Interesting language in the Code. Interesting, requires third-party analysis that ""estimated income, property, and transaction privilige tax and govt fee revenues in this state will exceed state incentives""","Top-line: Median award amount from Incentives Amount * FTEs for assumed 1 year
Note: Very limited eligibility information","- Add in county details for wages
- Check 1 year award window
- Do regression / any additional information available? ",,,"Within year, grant",n/a - grant,,Highly discretionary,Deal closing fund,"Deal closing grant requiring third-party validation:  Demonstrate by analysis by an independent third party that estimated income, property and transaction privilege tax and government fee revenues in this state will exceed state incentives","Grants from the Arizona Competes Fund may be awarded for (i) attracting, expanding or retaining Arizona basic enterprises (A.R.S. § 41-1545.02(A)(1)) and (ii) supporting and advancing programs and projects for microenterprises, rural businesses, small businesses and business development that enhance economic development. (AZ Department of Commerce)",1. Grant,Major projects grants,Arizona_Arizona Competes Fund
