State,Rates,Brackets,Difference b/w salary and bracket,Tax burden within bracket,Deduction,Exemption,Dependent
Alabama,2.00%,$0,$500,$10,"$2,500","$1,500","$1,000"
Alabama,4.00%,$500,"$2,500",$100,,,
Alabama,5.00%,"$3,000","$52,000","$2,600",,,
Alaska,0,,"$55,000",$0,,,
Arizona,2.59%,$0,"$26,500",$686,"$12,400",,$100
Arizona,3.34%,"$26,500","$26,500",$885,,,
Arizona,4.17%,"$53,000","$2,000",$83,,,
Arizona,4.50%,"$159,000",$0,$0,,,
Arkansas,2.00%,$0,"$4,000",$80,"$2,200",$26,$26
Arkansas,4.00%,"$4,000","$4,000",$160,,,
Arkansas,5.90%,"$8,000","$47,000","$2,773",,,
Arkansas,6.60%,"$79,300",$0,$0,,,
California,1.00%,$0,"$8,809",$88,"$4,537",$122,$378
California,2.00%,"$8,809","$12,074",$241,,,
California,4.00%,"$20,883","$12,077",$483,,,
California,6.00%,"$32,960","$12,793",$768,,,
California,8.00%,"$45,753","$9,247",$740,,,
California,9.30%,"$57,824",$0,$0,,,
California,10.30%,"$295,373",$0,$0,,,
California,11.30%,"$354,445",$0,$0,,,
California,12.30%,"$590,742",$0,$0,,,
California,13.30%,"$1,000,000",$0,$0,,,
Colorado,4.63% of federal taxable income with modification,,,,"$12,400",,
Connecticut,3.00%,$0,"$10,000",$300,,"$15,000",$0
Connecticut,5.00%,"$10,000","$40,000","$2,000",,,
Connecticut,5.50%,"$50,000","$5,000",$275,,,
Connecticut,6.00%,"$100,000",$0,$0,,,
Connecticut,6.50%,"$200,000",$0,$0,,,
Connecticut,6.90%,"$250,000",$0,$0,,,
Connecticut,6.99%,"$500,000",$0,$0,,,
Delaware,2.20%,"$2,000","$3,000",$66,"$3,250",$110,$110
Delaware,3.90%,"$5,000","$5,000",$195,,,
Delaware,4.80%,"$10,000","$10,000",$480,,,
Delaware,5.20%,"$20,000","$5,000",$260,,,
Delaware,5.55%,"$25,000","$30,000","$1,665",,,
Delaware,6.60%,"$60,000",$0,$0,,,
Florida,0,,"$55,000",$0,,,
Georgia,1.00%,$0,$750,$8,"$4,600","$2,700","$3,000"
Georgia,2.00%,$750,"$1,500",$30,,,
Georgia,3.00%,"$2,250","$1,500",$45,,,
Georgia,4.00%,"$3,750","$1,500",$60,,,
Georgia,5.00%,"$5,250","$1,750",$88,,,
Georgia,5.75%,"$7,000","$48,000","$2,760",,,
Hawaii,1.40%,$0,"$2,400",$34,"$2,200","$1,144","$1,144"
Hawaii,3.20%,"$2,400","$2,400",$77,,,
Hawaii,5.50%,"$4,800","$4,800",$264,,,
Hawaii,6.40%,"$9,600","$4,800",$307,,,
Hawaii,6.80%,"$14,400","$4,800",$326,,,
Hawaii,7.20%,"$19,200","$4,800",$346,,,
Hawaii,7.60%,"$24,000","$12,000",$912,,,
Hawaii,7.90%,"$36,000","$12,000",$948,,,
Hawaii,8.25%,"$48,000","$7,000",$578,,,
Hawaii,9.00%,"$150,000",$0,$0,,,
Hawaii,10.00%,"$175,000",$0,$0,,,
Hawaii,11.00%,"$200,000",$0,$0,,,
Idaho,1.125%,$0,"$1,541",$17,"$12,400",,
Idaho,3.125%,"$1,541","$1,540",$48,,,
Idaho,3.625%,"$3,081","$1,541",$56,,,
Idaho,4.625%,"$4,622","$1,540",$71,,,
Idaho,5.625%,"$6,162","$1,541",$87,,,
Idaho,6.625%,"$7,703","$3,851",$255,,,
Idaho,6.925%,"$11,554","$43,446","$3,009",,,
Illinois,4.95%,$0,"$55,000","$2,723",,"$2,275","$2,275"
Indiana,3.23%,$0,"$55,000","$1,777",,"$1,000","$1,000"
Iowa,0.33%,$0,"$1,638",$5,"$2,080",$40,$40
Iowa,0.67%,"$1,638","$1,638",$11,,,
Iowa,2.25%,"$3,276","$3,276",$74,,,
Iowa,4.14%,"$6,552","$8,190",$339,,,
Iowa,5.63%,"$14,742","$9,828",$553,,,
Iowa,5.96%,"$24,570","$8,190",$488,,,
Iowa,6.25%,"$32,760","$16,380","$1,024",,,
Iowa,7.44%,"$49,140","$5,860",$436,,,
Iowa,8.53%,"$73,710",$0,$0,,,
Kansas,3.10%,$0,"$15,000",$465,"$3,000","$2,250","$2,250"
Kansas,5.25%,"$15,000","$15,000",$788,,,
Kansas,5.70%,"$30,000","$25,000","$1,425",,,
Kentucky,5.00%,$0,"$55,000","$2,750","$2,650",,
Louisiana,2.00%,$0,"$12,500",$250,,"$4,500","$1,000"
Louisiana,4.00%,"$12,500","$37,500","$1,500",,,
Louisiana,6.00%,"$50,000","$5,000",$300,,,
Maine,5.80%,$0,"$22,200","$1,288","$12,400","$4,200",$300
Maine,6.75%,"$22,200","$30,400","$2,052",,,
Maine,7.15%,"$52,600","$2,400",$172,,,
Maryland,2.00%,$0,"$1,000",$20,"$2,250","$3,200","$3,200"
Maryland,3.00%,"$1,000","$1,000",$30,,,
Maryland,4.00%,"$2,000","$1,000",$40,,,
Maryland,4.75%,"$3,000","$52,000","$2,470",,,
Maryland,5.00%,"$100,000",$0,$0,,,
Maryland,5.25%,"$125,000",$0,$0,,,
Maryland,5.50%,"$150,000",$0,$0,,,
Maryland,5.75%,"$250,000",$0,$0,,,
Massachusetts,5.00%,$0,"$55,000","$2,750",,"$4,400","$1,000"
Michigan,4.25%,$0,"$55,000","$2,338",,"$4,750","$4,400"
Minnesota,5.35%,$0,"$26,960","$1,442","$12,400",,"$4,300"
Minnesota,6.80%,"$26,960","$28,040","$1,907",,,
Minnesota,7.85%,"$88,550",$0,$0,,,
Minnesota,9.85%,"$164,400",$0,$0,,,
Mississippi,3.00%,"$1,000","$4,000",$120,"$2,300","$6,000","$1,500"
Mississippi,4.00%,"$5,000","$5,000",$200,,,
Mississippi,5.00%,"$10,000","$45,000","$2,250",,,
Missouri,1.50%,$105,$948,$14,"$12,400",,
Missouri,2.00%,"$1,053","$1,053",$21,,,
Missouri,2.50%,"$2,106","$1,053",$26,,,
Missouri,3.00%,"$3,159","$1,053",$32,,,
Missouri,3.50%,"$4,212","$1,053",$37,,,
Missouri,4.00%,"$5,265","$1,053",$42,,,
Missouri,4.50%,"$6,318","$1,053",$47,,,
Missouri,5.00%,"$7,371","$1,053",$53,,,
Missouri,5.40%,"$8,424","$46,576","$2,515",,,
Montana,1.00%,$0,"$3,100",$31,"$4,710","$2,510","$2,510"
Montana,2.00%,"$3,100","$2,300",$46,,,
Montana,3.00%,"$5,400","$2,800",$84,,,
Montana,4.00%,"$8,200","$2,900",$116,,,
Montana,5.00%,"$11,100","$3,200",$160,,,
Montana,6.00%,"$14,300","$4,100",$246,,,
Montana,6.90%,"$18,400","$36,600","$2,525",,,
Nebraska,2.46%,$0,"$3,230",$79,"$6,900",$137,$137
Nebraska,3.51%,"$3,230","$16,100",$565,,,
Nebraska,5.01%,"$19,330","$11,830",$593,,,
Nebraska,6.84%,"$31,160","$23,840","$1,631",,,
Nevada,0,,"$55,000",$0,,,
New Hampshire,5.00%,$0,"$55,000","$2,750",,"$2,400",
New Jersey,1.400%,$0,"$20,000",$280,,"$1,000","$1,500"
New Jersey,1.750%,"$20,000","$15,000",$263,,,
New Jersey,3.500%,"$35,000","$5,000",$175,,,
New Jersey,5.525%,"$40,000","$15,000",$829,,,
New Jersey,6.370%,"$75,000",$0,$0,,,
