Type,RuralOrCity,State,City,Tax Rate 100k,Tax Rate 1M,Tax Rate 25M
Commercial,City,Alabama,Birmingham,1.45%,1.45%,1.45%
Commercial,City,Alaska,Anchorage,1.21%,1.46%,1.49%
Commercial,City,Arizona,Phoenix,2.08%,2.14%,2.57%
Commercial,City,Arkansas,Little Rock,1.40%,1.40%,1.40%
Commercial,City,California,Los Angeles,1.17%,1.17%,1.17%
Commercial,City,Colorado,Denver,2.22%,2.22%,2.22%
Commercial,City,Connecticut,Bridgeport,3.30%,3.30%,3.30%
Commercial,City,DC,Washington,1.26%,1.26%,1.93%
Commercial,City,Delaware,Wilmington,1.06%,1.06%,1.06%
Commercial,City,Florida,Jacksonville,1.37%,1.62%,1.65%
Commercial,City,Georgia,Atlanta,1.51%,1.51%,1.51%
Commercial,City,Hawaii,Honolulu,1.02%,1.02%,1.02%
Commercial,City,Idaho,Boise,1.08%,1.20%,1.31%
Commercial,City,Illinois,Aurora*,3.01%,3.01%,3.01%
Commercial,City,Illinois,Chicago,3.51%,3.51%,3.51%
Commercial,City,Indiana,Indianapolis,2.91%,2.91%,2.91%
Commercial,City,Iowa,Des Moines,2.30%,3.02%,3.27%
Commercial,City,Kansas,Wichita,2.56%,2.56%,2.56%
Commercial,City,Kentucky,Louisville,1.36%,1.36%,1.36%
Commercial,City,Louisiana,New Orleans,2.14%,2.14%,2.14%
Commercial,City,Maine,Portland,2.02%,2.02%,2.02%
Commercial,City,Maryland,Baltimore,2.80%,2.80%,2.80%
Commercial,City,Massachusetts,Boston,1.77%,1.77%,1.77%
Commercial,City,Michigan,Detroit,3.77%,3.77%,3.77%
Commercial,City,Minnesota,Minneapolis,1.73%,2.77%,2.92%
Commercial,City,Mississippi,Jackson,2.67%,2.67%,2.67%
Commercial,City,Missouri,Kansas City,2.82%,2.82%,2.82%
Commercial,City,Montana,Billings,0.98%,1.06%,1.15%
Commercial,City,Nebraska,Omaha,1.89%,2.06%,2.07%
Commercial,City,Nevada,Las Vegas,1.12%,1.12%,1.12%
Commercial,City,New Hampshire,Manchester,1.69%,1.69%,1.69%
Commercial,City,New Jersey,Newark,2.52%,2.52%,2.52%
Commercial,City,New Mexico,Albuquerque,1.44%,1.44%,1.44%
Commercial,City,New York,Buffalo*,2.18%,2.18%,2.18%
Commercial,City,New York,New York City,1.32%,1.32%,1.32%
Commercial,City,North Carolina,Charlotte,0.95%,0.95%,0.95%
Commercial,City,North Dakota,Fargo,1.08%,1.08%,1.08%
Commercial,City,Ohio,Columbus,1.93%,1.93%,1.93%
Commercial,City,Oklahoma,Oklahoma City,1.36%,1.36%,1.36%
Commercial,City,Oregon,Portland,2.46%,2.46%,2.46%
Commercial,City,Pennsylvania,Philadelphia,1.14%,1.97%,2.13%
Commercial,City,Rhode Island,Providence,3.61%,3.61%,3.61%
Commercial,City,South Carolina,Charleston,1.86%,1.86%,1.86%
Commercial,City,South Dakota,Sioux Falls,1.24%,1.24%,1.24%
Commercial,City,Tennessee,Nashville,1.05%,1.05%,1.05%
Commercial,City,Texas,Houston,2.29%,2.29%,2.29%
Commercial,City,Utah,Salt Lake City,1.27%,1.27%,1.27%
Commercial,City,Vermont,Burlington,2.54%,2.54%,2.54%
Commercial,City,Virginia,Virginia Beach,0.99%,0.99%,0.99%
Commercial,City,Washington,Seattle,0.77%,0.77%,0.77%
Commercial,City,West Virginia,Charleston,1.85%,1.85%,1.85%
Commercial,City,Wisconsin,Milwaukee,2.53%,2.58%,2.59%
Commercial,City,Wyoming,Cheyenne,0.69%,0.69%,0.69%
Commercial,Rural,Alabama,Monroeville,0.90%,0.90%,0.90%
Commercial,Rural,Alaska,Ketchikan,0.92%,1.09%,1.11%
Commercial,Rural,Arizona,Safford,1.33%,1.38%,1.69%
Commercial,Rural,Arkansas,Pocahontas,0.83%,0.83%,0.83%
Commercial,Rural,California,Yreka,1.06%,1.06%,1.06%
Commercial,Rural,Colorado,Walsenburg,2.30%,2.30%,2.30%
Commercial,Rural,Connecticut,Litchfield,2.14%,2.14%,2.14%
Commercial,Rural,Delaware,Georgetown,0.48%,0.48%,0.48%
Commercial,Rural,Florida,Moore Haven,1.81%,2.13%,2.18%
Commercial,Rural,Georgia,Fitzgerald,1.69%,1.69%,1.69%
Commercial,Rural,Hawaii,Kauai,0.57%,0.57%,0.57%
Commercial,Rural,Idaho,Saint Anthony,1.12%,1.25%,1.37%
Commercial,Rural,Illinois,Galena,2.13%,2.13%,2.13%
Commercial,Rural,Indiana,North Vernon,2.90%,2.90%,2.90%
Commercial,Rural,Iowa,Hampton,1.41%,2.13%,2.39%
Commercial,Rural,Kansas,Iola,5.10%,5.10%,5.10%
Commercial,Rural,Kentucky,Morehead,1.35%,1.35%,1.35%
Commercial,Rural,Louisiana,Natchitoches,1.40%,1.40%,1.40%
Commercial,Rural,Maine,Rockland,2.48%,2.48%,2.48%
Commercial,Rural,Maryland,Denton,2.06%,2.06%,2.06%
Commercial,Rural,Massachusetts,Adams,2.07%,2.07%,2.07%
Commercial,Rural,Michigan,Manistique,2.87%,2.87%,2.87%
Commercial,Rural,Minnesota,Glencoe,1.71%,2.70%,2.86%
Commercial,Rural,Mississippi,Philadelphia,2.07%,2.07%,2.07%
Commercial,Rural,Missouri,Boonville,2.08%,2.08%,2.08%
Commercial,Rural,Montana,Glasgow,1.20%,1.30%,1.40%
Commercial,Rural,Nebraska,Sidney,2.13%,2.32%,2.33%
Commercial,Rural,Nevada,Fallon,1.29%,1.29%,1.29%
Commercial,Rural,New Hampshire,Lancaster,2.09%,2.09%,2.09%
Commercial,Rural,New Jersey,Maurice River Township,2.33%,2.33%,2.33%
Commercial,Rural,New Mexico,Santa Rosa,1.03%,1.03%,1.03%
Commercial,Rural,New York,Warsaw,3.00%,3.00%,3.00%
Commercial,Rural,North Carolina,Edenton,1.11%,1.11%,1.11%
Commercial,Rural,North Dakota,Devils Lake,1.19%,1.19%,1.19%
Commercial,Rural,Ohio,Bryan,1.65%,1.65%,1.65%
Commercial,Rural,Oklahoma,Mangum,0.84%,0.84%,0.84%
Commercial,Rural,Oregon,Tillamook,1.16%,1.16%,1.16%
Commercial,Rural,Pennsylvania,Ridgway,1.96%,1.96%,1.96%
Commercial,Rural,Rhode Island,Hopkinton,2.13%,2.13%,2.13%
