,Category,Sub-category,"State, 10-year NPV","Local, 10-year NPV"
0,Corporate income taxes,Corporate income taxes,19101513.0,
1,Personal income taxes,Direct employment,4381421.646600217,
2,Personal income taxes,Indirect employment,42386634.40871049,
3,Personal income taxes,Construction labor,10414324.888522772,
4,Sales taxes,Direct employment,3049032.7676273054,
5,Sales taxes,Indirect employment,17346050.28916731,
6,Sales taxes,Construction labor,4254168.666331163,
7,Sales taxes,Construction materials (one-time) and annual M&E,8113623.759692288,
8,Property taxes,Real and personal,,2577391.4371056035
9,Sales taxes,"Employment, construction materials, and M&E",,1851543.442800672
